node_id,name,x,y,concourse,type,connections,icon,image_url,floor
"Node_Passport_Control","Passport Control",489,227,"D","security","Node_Intersection_D:50","","",""
"Node_Intersection_D","Main Concourse D Intersection",489,227,"D","intersection","Node_Passport_Control:50;Node_Concourse_D_West:163;Node_Concourse_D_East:163","","",""
"Node_Concourse_D_West","Concourse D West",337,247,"D","corridor","Node_Intersection_D:163;Node_Intersection_ABC:162","","",""
"Node_Concourse_D_East","Concourse D East",663,247,"D","corridor","Node_Intersection_D:163;Node_Intersection_EFG:162;Node_Gate_D4:80","","",""
"Node_Intersection_ABC","Intersection A-B-C",175,247,"D","intersection","Node_Concourse_D_West:162;Node_Concourse_A:53;Node_Concourse_B:55;Node_Concourse_C:47","","",""
"Node_Intersection_EFG","Intersection E-F-G",825,247,"D","intersection","Node_Concourse_D_East:162;Node_Concourse_E:47;Node_Concourse_F:55;Node_Concourse_G:53","","",""
"Node_Concourse_A","Concourse A Corridor",175,300,"A","corridor","Node_Intersection_ABC:53;Node_Gate_A1:100","","",""
"Node_Concourse_B","Concourse B Corridor",120,247,"B","corridor","Node_Intersection_ABC:55;Node_Gate_B1:70","","",""
"Node_Concourse_C","Concourse C Corridor",175,200,"C","corridor","Node_Intersection_ABC:47;Node_Gate_C1:100","","",""
"Node_Concourse_E","Concourse E Corridor",825,200,"E","corridor","Node_Intersection_EFG:47;Node_Gate_E2:100","","",""
"Node_Concourse_F","Concourse F Corridor",880,247,"F","corridor","Node_Intersection_EFG:55;Node_Gate_F2:70","","",""
"Node_Concourse_G","Concourse G Corridor",825,300,"G","corridor","Node_Intersection_EFG:53;Node_Gate_G2:100","","",""
"Node_Gate_C1","Gate C1",217,149,"C","gate","Node_Concourse_C:100","","",""
"Node_Gate_C2","Gate C2",217,149,"C","gate","","","",""
"Node_Gate_C3","Gate C3",217,149,"C","gate","","","",""
"Node_Gate_C4","Gate C4",217,149,"C","gate","","","",""
"Node_Gate_C5","Gate C5",217,149,"C","gate","","","",""
"Node_Gate_C6","Gate C6",217,149,"C","gate","","","",""
"Node_Gate_C7","Gate C7",217,149,"C","gate","","","",""
"Node_Gate_C8","Gate C8",217,149,"C","gate","","","",""
"Node_Gate_C9","Gate C9",217,149,"C","gate","","","",""
"Node_Gate_D1","Gate D1",377,168,"D","gate","Node_Concourse_D_East:80","","",""
"Node_Gate_D1A","Gate D1A",337,168,"D","gate","Node_Concourse_D_East:80","","",""
"Node_Gate_D2","Gate D2",376,168,"D","gate","Node_Concourse_D_East:80","","",""
"Node_Gate_D3","Gate D3",415,168,"D","gate","Node_Concourse_D_East:80","","",""
"Node_Gate_D4","Gate D4",454,168,"D","gate","Node_Concourse_D_East:80","","",""
"Node_Gate_D5","Gate D5",500,168,"D","gate","Node_Concourse_D_East:80","","",""
"Node_Gate_D6","Gate D6",550,168,"D","gate","Node_Concourse_D_East:80","","",""
"Node_Gate_D7","Gate D7",598,168,"D","gate","Node_Concourse_D_East:80","","",""
"Node_Gate_D8","Gate D8",648,168,"D","gate","Node_Concourse_D_East:80","","",""
