product_id,product_code,product_name,description,category,sub_category,scent,price,qty_de40,qty_de12,qty_dw41,image,is_active,how_to_use
"p001","8400","PANPURI Body Wash Siamese Water 330ml","Luxurious body cleanser infused with Siamese Water essence","BATH & BODY","","Siamese Water","890","9","50","50","https://panpuri.com/product/care-eau-de-parfum-3/","true",""
"p003","PFB01003","PANPURI Body Wash Eternal Sunshine 330ml","Radiant body wash with warm Eternal Sunshine scent","Bath & Body","","Eternal Sunshine","890","40","40","40","https://panpuri.com/cdn/shop/products/BW_ES_330ml.jpg","true",""
"p004","","","","","","","","","","","","",""
"p005","PFB02001","PANPURI Body Lotion Quiet Mind 190ml","Calming body moisturiser with Quiet Mind herbal blend","Bath & Body","","Quiet Mind","1300","35","35","35","https://panpuri.com/cdn/shop/products/BL_QM_190ml.jpg","true",""
"p006","","","","","","","","","","","","",""
"p007","PFC01001","PANPURI Face Oil Inner Glow 45ml","Luxury face serum oil for radiant glowing skin","Face","","N/A","2330","20","20","20","https://panpuri.com/cdn/shop/products/FO_IG_45ml.jpg","true",""
"p008","","","","","","","","","","","","",""
"p009","PFC03001","PANPURI Gentle Face Wash Quiet Mind 150ml","Soft foaming facial cleanser with herbal extract","Face","","Quiet Mind","1675","30","30","30","https://panpuri.com/cdn/shop/products/FW_QM_150ml.jpg","true",""
"p010","","","","","","","","","","","","",""
"p011","PFH01001","PANPURI Hair Conditioner Siamese Water 330ml","Nourishing hair conditioner with Siamese Water essence","Hair Care","","Siamese Water","1115","25","25","25","https://panpuri.com/cdn/shop/products/HC_SW_330ml.jpg","true",""
"p012","","","","","","","","","","","","",""
"p013","PFB03001","PANPURI Bath Salt Siamese Water 500g","Relaxing mineral bath salt with Siamese Water blend","Bath & Body","","Siamese Water","1580","20","20","20","https://panpuri.com/cdn/shop/products/BS_SW_500g.jpg","true",""
"p014","","","","","","","","","","","","",""
"p015","PFS01001","PANPURI Gift Set Siamese Water Duo","Curated gift set with body wash and body lotion Siamese Water","Gift Sets","","Siamese Water","2200","15","15","15","https://panpuri.com/cdn/shop/products/GS_SW_duo.jpg","""true","""
"
"p015","8001000","PPR","","FINE FRAGRANCES","EXTRACT Perfume Oil","N/A","1500","40","0","0","","true",""
"p016","TEST-123","Test Product","","","","N/A","0","0","0","0","","true",""
